secondarykey,Index Value
2001.0,1698577
2001.0,1698620
2001.0,1698684
2001.0,1698732
2001.0,1698774
2001.0,1698825
2001.0,1698871
2001.0,1698920
2001.0,1698485
2001.0,1697915
2001.0,1697850
2001.0,1697791
2001.0,1696711
2001.0,1696770
2001.0,1696830
2001.0,1696893
2001.0,1696942
2001.0,1696986
2001.0,1697041
2001.0,1697084
2001.0,1697148
2001.0,1697190
2001.0,1697243
2001.0,1697289
2001.0,1697332
2001.0,1697379
2001.0,1697428
2001.0,1697490
2001.0,1697537
2001.0,1697583
2001.0,1697640
2001.0,1697699
2001.0,1697748
2001.0,1696609
2001.0,1703670
2001.0,1684371
2001.0,1684274
2001.0,1671242
2001.0,1671285
2001.0,1671342
2001.0,1671385
2001.0,1671433
2001.0,1671481
2001.0,1671538
2001.0,1671580
2001.0,1671624
2001.0,1671200
2001.0,1671671
2001.0,1671778
2001.0,1671826
2001.0,1671877
2001.0,1671921
2001.0,1671965
2001.0,1672012
2001.0,1672071
2001.0,1672120
2001.0,1672169
2001.0,1671729
2001.0,1672217
2001.0,1671151
2001.0,1671065
2001.0,1670130
2001.0,1670179
2001.0,1670222
2001.0,1670267
2001.0,1670309
2001.0,1670351
2001.0,1670396
2001.0,1670444
2001.0,1670493
2001.0,1671109
2001.0,1670541
2001.0,1670633
2001.0,1670682
2001.0,1670731
2001.0,1670779
2001.0,1670827
2001.0,1670885
2001.0,1670929
2001.0,1670973
2001.0,1671020
2001.0,1670589
2001.0,1672261
2001.0,1672309
2001.0,1672374
2001.0,1673646
2001.0,1673689
2001.0,1673753
2001.0,1673811
2001.0,1673860
2001.0,1673918
2001.0,1673963
2001.0,1674009
2001.0,1674067
2001.0,1673582
2001.0,1674116
2001.0,1674204
2001.0,1674247
2001.0,1674290
2001.0,1674348
2001.0,1674392
2001.0,1674437
2001.0,1674481
2001.0,1674525
2001.0,1674569
2001.0,1674159
2001.0,1673538
2001.0,1673490
2001.0,1673442
2001.0,1672421
2001.0,1672465
2001.0,1672510
2001.0,1672553
2001.0,1672606
2001.0,1672649
2001.0,1672700
2001.0,1672758
2001.0,1672807
2001.0,1672850
2001.0,1672908
2001.0,1672964
2001.0,1673010
2001.0,1673059
2001.0,1673102
2001.0,1673146
2001.0,1673193
2001.0,1673239
2001.0,1673287
2001.0,1673334
2001.0,1673380
2001.0,1670070
2001.0,1670012
2001.0,1669968
2001.0,1669920
2001.0,1666413
2001.0,1666465
2001.0,1666514
2001.0,1666566
2001.0,1666611
2001.0,1666669
2001.0,1666727
2001.0,1666780
2001.0,1666885
2001.0,1666361
2001.0,1666931
2001.0,1667037
2001.0,1667083
2001.0,1667127
2001.0,1667186
2001.0,1667232
2001.0,1667283
2001.0,1667327
2001.0,1667374
2001.0,1667427
2001.0,1666977
2001.0,1666313
2001.0,1666262
2001.0,1666219
2001.0,1665195
2001.0,1665244
2001.0,1665310
2001.0,1665372
2001.0,1665417
2001.0,1665459
2001.0,1665522
2001.0,1665566
2001.0,1665608
2001.0,1665666
2001.0,1665708
2001.0,1665753
2001.0,1665801
2001.0,1665847
2001.0,1665903
2001.0,1665949
2001.0,1666000
2001.0,1666049
2001.0,1666091
2001.0,1666134
2001.0,1666177
2001.0,1667471
2001.0,1674629
2001.0,1667514
2001.0,1667611
2001.0,1668935
2001.0,1668986
2001.0,1669028
2001.0,1669077
2001.0,1669121
2001.0,1669179
2001.0,1669225
2001.0,1669291
2001.0,1669333
2001.0,1668876
2001.0,1669385
2001.0,1669497
2001.0,1669539
2001.0,1669588
2001.0,1669630
2001.0,1669672
2001.0,1669721
2001.0,1669788
2001.0,1669834
2001.0,1669876
2001.0,1669433
2001.0,1668832
2001.0,1668773
2001.0,1668731
2001.0,1667657
2001.0,1667717
2001.0,1667759
2001.0,1667802
2001.0,1667850
2001.0,1667899
2001.0,1667943
2001.0,1667991
2001.0,1668039
2001.0,1668091
2001.0,1668139
2001.0,1668185
2001.0,1668231
2001.0,1668290
2001.0,1668341
2001.0,1668406
2001.0,1668465
2001.0,1668526
2001.0,1668571
2001.0,1668620
2001.0,1668672
2001.0,1667563
2001.0,1684323
2001.0,1674671
2001.0,1674766
2001.0,1680939
2001.0,1680985
2001.0,1681034
2001.0,1681099
2001.0,1681151
2001.0,1681194
2001.0,1681236
2001.0,1681280
2001.0,1681322
2001.0,1680884
2001.0,1681367
2001.0,1681474
2001.0,1681519
2001.0,1681567
2001.0,1681622
2001.0,1681664
2001.0,1681707
2001.0,1681773
2001.0,1681817
2001.0,1681859
2001.0,1681410
2001.0,1681902
2001.0,1680836
2001.0,1680751
2001.0,1679713
2001.0,1679778
2001.0,1679820
2001.0,1679880
2001.0,1679945
2001.0,1679991
2001.0,1680057
2001.0,1680103
2001.0,1680145
2001.0,1680794
2001.0,1680203
2001.0,1680311
2001.0,1680378
2001.0,1680427
2001.0,1680469
2001.0,1680515
2001.0,1680564
2001.0,1680613
2001.0,1680656
2001.0,1680699
2001.0,1680268
2001.0,1681944
2001.0,1681992
2001.0,1682044
2001.0,1683300
2001.0,1683343
